waypoint_idx,wp_x,wp_y,wp_z,link_id,link_point_idx,link_x,link_y,link_z,error_m
146,-96.3419450275833,-364.88510771282,28.5388174088833,A2256W000338,23550,-96.34194502758328,-364.8851077128202,28.53881740888334,1.7112135109858138e-13
147,-96.1231799092392,-364.435508131705,28.5402455744412,A2256W000182,34556,-96.12317990923917,-364.4355081317049,28.540245574441233,6.355287432313019e-14
148,-95.9044147908951,-363.98590855059,28.5416737399991,A2256W000182,34557,-95.90441479089506,-363.98590855058967,28.541673739999126,3.43714720612747e-13
149,-95.685649672551,-363.536308969474,28.543101905557,A2256W000182,34558,-95.68564967255095,-363.5363089694744,28.54310190555702,4.001813022207649e-13
150,-95.4975790568398,-363.073032736492,28.5452409379116,A2256W000182,34559,-95.49757905683977,-363.07303273649177,28.545240937911572,2.2914314707516465e-13
151,-95.3095084411286,-362.609756503509,28.5473799702661,A2256W000182,34560,-95.30950844112859,-362.6097565035091,28.547379970266125,1.1457157353758233e-13
152,-95.1214378254174,-362.146480270526,28.5495190026207,A2256W000182,34561,-95.1214378254174,-362.14648027052647,28.549519002620677,4.547473508864641e-13
153,-94.9751518779868,-361.66836831007,28.5525808407287,A2256W000182,34562,-94.97515187798679,-361.6683683100698,28.552580840728666,1.7112135109858138e-13
154,-94.8288659305562,-361.190256349613,28.5556426788367,A2256W000182,34563,-94.82886593055618,-361.19025634961315,28.555642678836655,1.7288250917028504e-13
155,-94.7292147671958,-360.700294594103,28.5583117195417,A2256W000182,34564,-94.72921476719584,-360.70029459410296,28.558311719541692,7.105427357601002e-14
156,-94.6295636038355,-360.210332838593,28.5609807602467,A2256W000182,34565,-94.6295636038355,-360.21033283859276,28.56098076024673,2.2737367544323206e-13
157,-94.560030761856,-359.715196315989,28.5632185873208,A2256W000182,34566,-94.560030761856,-359.7151963159889,28.563218587320836,5.684341886080802e-14
158,-94.4904979198765,-359.220059793385,28.5654564143949,A2256W000182,34567,-94.49049791987649,-359.2200597933851,28.565456414394944,5.859285502108464e-14
159,-94.4664194254635,-358.720647256194,28.568166359597,A2256W000182,34568,-94.46641942546346,-358.72064725619384,28.56816635959702,1.757785650632539e-13
160,-94.4423409310504,-358.221234719003,28.5708763047991,A2256W000182,34569,-94.44234093105042,-358.2212347190026,28.570876304799093,3.989177016483779e-13
161,-94.4487976310841,-357.721286613116,28.5740704315194,A2256W000182,34570,-94.44879763108415,-357.72128661311643,28.574070431519353,4.567413805031093e-13
162,-94.4552543311179,-357.22133850723,28.5772645582396,A2256W000182,34571,-94.45525433111787,-357.22133850723026,28.577264558239612,2.8563464471519893e-13
163,-94.5073021212666,-356.724055771958,28.5782178372989,A2256W000182,34572,-94.50730212126658,-356.7240557719582,28.578217837298862,2.2914314707516465e-13
164,-94.5593499114153,-356.226773036686,28.5791711163581,A2256W000182,34573,-94.55934991141528,-356.22677303668615,28.57917111635811,1.7112135109858138e-13
165,-94.611397701564,-355.729490301414,28.5801243954174,A2256W000182,34574,-94.61139770156399,-355.7294903014141,28.58012439541736,1.1457157353758233e-13
166,-94.7085860608812,-355.239031927083,28.5778870172008,A2256W000182,34575,-94.70858606088122,-355.2390319270826,28.57788701720084,3.981576164199481e-13
167,-94.8057744201984,-354.748573552751,28.5756496389843,A2256W000182,34576,-94.80577442019845,-354.74857355275105,28.57564963898432,7.105427357601002e-14
168,-94.9496686416043,-354.269732705034,28.5732215525524,A2256W000182,34577,-94.94966864160428,-354.2697327050341,28.573221552552415,6.355287432313019e-14
169,-95.0935628630101,-353.790891857317,28.5707934661205,A2256W000182,34578,-95.0935628630101,-353.7908918573171,28.57079346612051,1.1368683772161603e-13
170,-95.2664216326484,-353.321727557746,28.5686241881712,A2256W000182,34579,-95.26642163264837,-353.3217275577457,28.568624188171192,2.8563464471519893e-13
171,-95.4392804022866,-352.852563258174,28.5664549102219,A2256W000182,34580,-95.43928040228664,-352.8525632581743,28.566454910221875,3.43714720612747e-13
172,-95.6542053918294,-352.401119476386,28.5640547529873,A2256W000182,34581,-95.65420539182944,-352.40111947638604,28.564054752987293,7.105427357601002e-14
173,-95.8691303813722,-351.949675694598,28.5616545957527,A2256W000182,34582,-95.86913038137223,-351.9496756945978,28.56165459575271,2.2914314707516465e-13
174,-96.1112137106118,-351.512195767521,28.5590135524722,A2256W000182,34583,-96.11121371061178,-351.51219576752146,28.559013552472226,4.556346636343676e-13
175,-96.3532970398513,-351.074715840445,28.5563725091917,A2256W000182,34584,-96.35329703985133,-351.07471584044515,28.556372509191743,1.7288250917028504e-13
176,-96.6342796314777,-350.661156787553,28.5521662074616,A2256W000182,34585,-96.63427963147774,-350.66115678755347,28.552166207461596,4.567413805031093e-13
177,-96.9152622231042,-350.247597734662,28.5479599057314,A2256W000182,34586,-96.91526222310415,-350.2475977346618,28.54795990573145,2.31335954426011e-13
178,-97.1962448147306,-349.83403868177,28.5437536040013,A2256W000182,34587,-97.19624481473056,-349.8340386817701,28.543753604001303,1.214175959108492e-13
179,-97.5139274693084,-349.447981468149,28.5376250812338,A2256W000182,34588,-97.51392746930837,-349.4479814681487,28.53762508123385,2.8563464471519893e-13
180,-97.8575519797139,-349.084794129797,28.5334834499539,A2256W000182,34589,-97.85755197971392,-349.08479412979716,28.533483449953874,1.7112135109858138e-13
181,-98.2011764901195,-348.721606791446,28.5293418186739,A2256W000182,34590,-98.20117649011947,-348.7216067914456,28.5293418186739,3.989177016483779e-13
182,-98.544801000525,-348.358419453094,28.5252001873939,A2256W000182,34591,-98.54480100052501,-348.35841945309403,28.525200187393924,5.859285502108464e-14
183,-98.9167420524375,-348.024266466484,28.5239213434992,A2256W000182,34592,-98.91674205243754,-348.0242664664839,28.52392134349922,1.214175959108492e-13
184,-99.2886831043501,-347.690113479874,28.5226424996045,A2256W000182,34593,-99.28868310435007,-347.69011347987373,28.52264249960452,2.8563464471519893e-13
